 BAFTA Interactive Entertainment Awards,,,,,,,,,,,,D.I.C.E. Awards,,,,,,,
Game - Console in 2002,,,,,,Genre,,,,,,Game | Best Game in 2002,,,,,,Genre,
#1,Halo,,,,,FPS,,,,,,#1,Halo: Combat  Evolved,,,,,FPS,
เข้าชิง,Grand Theft Auto 3,,,,,Action-adventure,,,,,,เข้าชิง,Black&White,,,,,Simulation,
เข้าชิง,ICO,,,,,Action-adventure,,,,,,เข้าชิง,ICO,,,,,Action-adventure,
เข้าชิง,Pikimi (Gamecube),,,,,Real-time strategy,,,,,,เข้าชิง,Sid Meier's Civillization III,,,,,Turn-based strategy,
http://awards.bafta.org/award/2002/interactive/games-console-sponsored-by-the-department-of-trade-and-industry,,,,,,,,,,,,https://www.interactive.org/awards/award_category_details.asp?idAward=2002&idGameAwardType=65,,,,,,,
,,,,,,,,,,,,,,,,,,,
Game - Mobile in 2002,,,,,,Genre,,,,,,GameRanking,,,,,,,
#1,SMS Chess,,,,,Strategy,,,,,,Top Ranking 2002,,,,,genre,,
เข้าชิง,Denki Blocks,,,,,Puzzle,,,,,,#1,Metroid Prime,,,,Action/Adventure,,
เข้าชิง,Scooby Doo - Jeepers Creepers,,,,,Action-adventure,,,,,,#2,Grand Theft Auto: Vice city,,,,Action/Adventure,,
เข้าชิง,WWE Mobile Madness,,,,,Action,,,,,,#3,Grand Theft Auto III,,,,Action/Adventure,,
http://awards.bafta.org/award/2002/interactive/games-mobile-device-sponsored-by-telecom-one,,,,,,,,,,,,#4,Warcraft III: Reign of Chaos,,,,Real-time strategy,,
,,,,,,,,,,,,#5,Tony Hawk's Pro Skater 4,,,,Sports,,
Game - PC in 2002,,,,,,Genre,,,,,,#6,Tom Clancy's Sprinter Cell,,,,Stealth,,
#1,Neverwinter Nights,,,,,Role-playing,,,,,,#7,Super Mario World: Super Mario Advance 2,,,,Platform,,
เข้าชิง,Grand Theft Auto 3,,,,,Action-adventure,,,,,,#8,The Legend of Zelda: A Link to the Past,,,,Action/Adventure,,
เข้าชิง,Medal Of Honor - Allied Assault,,,,,FPS,,,,,,#9,TimeSplitters 2,,,,FPS,,
เข้าชิง,Strong Hold,,,,,Real-time strategy,,,,,,#10,Super Mario Sunshine,,,,Action/Adventure,,
http://awards.bafta.org/award/2002/interactive/games-pc,,,,,,,,,,,,https://www.gamerankings.com/browse.html?site=&cat=0&year=2002&numrev=0&sort=0&letter=&search=,,,,,,,
