GameRanking,,,,,,,,
Top Ranking 2008,,,,,genre,,,
#1,Grand Theft Auto: IV,,,,Action-adventure,,,PS3
#2,Grand Theft Auto: IV,,,,Action-adventure,,,XBOX360
#3,LittleBigPlanet,,,,Puzzle,,,
#4,World of Goo,,,,Puzzle,,,
#5,Bioshock,,,,FPS,,,
#6,Metal Gear Solid 4: Guns of the Patriots,,,,Action-adventure,,,
#7,Call of Duty 4: Modern Warfare,,,,FPS,,,
#8,Gears od War 2,,,,Third-person shooter,,,
#9,Fallout 3,,,,Action role-playing,,,
#10,Super Smash Bros. Brawl,,,,Fighting,,,
https://www.gamerankings.com/browse.html?site=&cat=0&year=2008&numrev=0&sort=0&letter=&search=,,,,,,,,
