GameRanking,,,,,,,,,,,,,
Top Ranking  2017,,,,,,Genre,,,,,,,
#1,Super Mario Odyssey,,,,,Action-adventure,,,,,,,
#2,The Legend of Zelda: Breath of the Wild,,,,,Action-adventure,,,,,,,
#3,Persona 5,,,,, Role-Playing,,,,,,,
#4,Divinity: Original Sin II,,,,, Role-Playing,,,,,,,
#5,Mario Kart 8 Deluxe,,,,,Kart Racing,,,,,,,
#6,What Remains Of Edith Finch,,,,,Adventure,,,,,,,
#7,Nier: Automata,,,,,Action Role-Playing,,,,,,,
#8,Nioh,,,,,Action Role-Playing,,,,,,,
#9,Nex Machina: Death Machine,,,,,Multi-directional shooter,,,,,,,
#10,Horizon: Zero Dawn,,,,,Action Role-Playing,,,,,,,
https://www.gamerankings.com/browse.html?site=&cat=0&year=2017&numrev=0&sort=0&letter=&search=,,,,,,,,,,,,,
