1,Metroid Prime,,,,Action/Adventure,,,GC,,96.33%
2,Grand Theft Auto: Vice city,,,,Action/Adventure,,,PS2,,94.43%
3,Grand Theft Auto III,,,,Action/Adventure,,,PC,,93.54%
4,Warcraft III: Reign of Chaos,,,,Real-time strategy,,,PC,,93.02%
5,Tony Hawk's Pro Skater 4,,,,Sports,,,PS2,,92.53%
6,Tom Clancy's Sprinter Cell,,,,Stealth,,,XBOX,,92.49%
7,Super Mario World: Super Mario Advance 2,,,,Platform,,,GBA,,92.36%
8,The Legend of Zelda: A Link to the Past,,,,Action/Adventure,,,GBA,,91.74%
9,TimeSplitters 2,,,,FPS,,,PS2,,91.67%
10,Super Mario Sunshine,,,,Action/Adventure,,,GC,,91.50%
