1,Grand Theft Auto Double Pack,Action-adventure,XBOX,94.60%
2,The Legend of Zelda: The Winter Waker,Action-adventure,GC,94.43%
3,Grand Theft Auto: Vice City,Action-adventure,PC,94.39%
4,Star Wars: Knights of the old republic,Role-playing,XBOX,94.21%
5,NCAA Football 2004,Sports,PS2,93.27%
6,Star Wars: Knights of the old republic,Role-playing,PC,94.21%
7,Project Gotham Racing 2,Racing,XBOX,93.16%
8,Prince of Persia: The Sands of Time,Action-adventure,XBOX,92.67%
9,SSX 3,Snowboarding,PS2,92.28%
10,Super Mario Advance 4: Super Mario Bros. 3,Platform game,GBA,92.25%
