1,Super Mario Odyssey,Action-adventure,NS,97.42%,,,,,,,,
2,The Legend of Zelda: Breath of the Wild,Action-adventure,NS,97.33%,,,,,,,,
3,Persona 5,Role-playing,PS4,93.36%,,,,,,,,
4,Divinity: Original Sin II,Role-playing,PC,92.94%,,,,,,,,
5,Mario Kart 8 Deluxe,Kart Racing,NS,92.39%,,,,,,,,
6,What Remains Of Edith Finch,Adventure,PS4,89.52%,,,,,,,,
7,Nier: Automata,Action Role-playing,PS4,88.84%,,,,,,,,
8,Nioh,Action Role-playing,PS4,88.75%,,,,,,,,
9,Nex Machina: Death Machine,Multi-directional shooter,PS4,88.62%,,,,,,,,
10,Horizon: Zero Dawn,Action Role-playing,PS4,88.36%,,,,,,,,
